Dex,Name,Type,Generation,Total,HP,Attack,Defense,SpAtk,SpDef,Speed
0628,Braviary Hisuian Braviary,Psychic Flying,5,510,110,83,70,112,70,65
0629,Vullaby,Dark Flying,5,370,70,55,75,45,65,60
0630,Mandibuzz,Dark Flying,5,510,110,65,105,55,95,80
0631,Heatmor,Fire,5,484,85,97,66,105,66,65
0632,Durant,Bug Steel,5,484,58,109,112,48,48,109
0633,Deino,Dark Dragon,5,300,52,65,50,45,50,38
0634,Zweilous,Dark Dragon,5,420,72,85,70,65,70,58
0635,Hydreigon,Dark Dragon,5,600,92,105,90,125,90,98
0636,Larvesta,Bug Fire,5,360,55,85,55,50,55,60
0637,Volcarona,Bug Fire,5,550,85,60,65,135,105,100
0638,Cobalion,Steel Fighting,5,580,91,90,129,90,72,108
0639,Terrakion,Rock Fighting,5,580,91,129,90,72,90,108
0640,Virizion,Grass Fighting,5,580,91,90,72,90,129,108
0641,Tornadus Incarnate Forme,Flying,5,580,79,115,70,125,80,111
0641,Tornadus Therian Forme,Flying,5,580,79,100,80,110,90,121
0642,Thundurus Incarnate Forme,Electric Flying,5,580,79,115,70,125,80,111
0642,Thundurus Therian Forme,Electric Flying,5,580,79,105,70,145,80,101
0643,Reshiram,Dragon Fire,5,680,100,120,100,150,120,90
0644,Zekrom,Dragon Electric,5,680,100,150,120,120,100,90
0645,Landorus Incarnate Forme,Ground Flying,5,600,89,125,90,115,80,101
0645,Landorus Therian Forme,Ground Flying,5,600,89,145,90,105,80,91
0646,Kyurem,Dragon Ice,5,660,125,130,90,130,90,95
0646,Kyurem White Kyurem,Dragon Ice,5,700,125,120,90,170,100,95
0646,Kyurem Black Kyurem,Dragon Ice,5,700,125,170,100,120,90,95
0647,Keldeo Ordinary Form,Water Fighting,5,580,91,72,90,129,90,108
0647,Keldeo Resolute Form,Water Fighting,5,580,91,72,90,129,90,108
0648,Meloetta Aria Forme,Normal Psychic,5,600,100,77,77,128,128,90
0648,Meloetta Pirouette Forme,Normal Fighting,5,600,100,128,90,77,77,128
0649,Genesect,Bug Steel,5,600,71,120,95,120,95,99
