OriginalName,SmogonName
Wooper,wooper
Wooper Paldean Wooper,wooper-paldean-wooper
Quagsire,quagsire
Espeon,espeon
Umbreon,umbreon
Murkrow,murkrow
Slowking,slowking
Slowking Galarian Slowking,slowking-galar-slowking
Misdreavus,misdreavus
Unown,unown
Wobbuffet,wobbuffet
Girafarig,girafarig
Pineco,pineco
Forretress,forretress
Dunsparce,dunsparce
Gligar,gligar
Steelix,steelix
Steelix Mega Steelix,steelix-mega-steelix
Snubbull,snubbull
Granbull,granbull
Qwilfish,qwilfish
Qwilfish Hisuian Qwilfish,qwilfish-hisui-qwilfish
Scizor,scizor
Scizor Mega Scizor,scizor-mega-scizor
Shuckle,shuckle
Heracross,heracross
Heracross Mega Heracross,heracross-mega-heracross
Sneasel,sneasel
Sneasel Hisuian Sneasel,sneasel-hisui-sneasel
Teddiursa,teddiursa
Ursaring,ursaring
Slugma,slugma
Magcargo,magcargo
Swinub,swinub
Piloswine,piloswine
Corsola,corsola
Corsola Galarian Corsola,corsola-galar-corsola
Remoraid,remoraid
Octillery,octillery
Delibird,delibird
Mantine,mantine
Skarmory,skarmory
Houndour,houndour
Houndoom,houndoom
Houndoom Mega Houndoom,houndoom-mega-houndoom
Kingdra,kingdra
Phanpy,phanpy
Donphan,donphan
Porygon2,porygon2
Stantler,stantler
Smeargle,smeargle
Tyrogue,tyrogue
Hitmontop,hitmontop
Smoochum,smoochum
Elekid,elekid
Magby,magby
Miltank,miltank
Blissey,blissey
Raikou,raikou
Entei,entei
Suicune,suicune
Larvitar,larvitar
Pupitar,pupitar
Tyranitar,tyranitar
Tyranitar Mega Tyranitar,tyranitar-mega-tyranitar
Lugia,lugia
Ho-oh,ho-oh
Celebi,celebi
Treecko,treecko
Grovyle,grovyle
Sceptile,sceptile
Sceptile Mega Sceptile,sceptile-mega-sceptile
Torchic,torchic
Combusken,combusken
Blaziken,blaziken
Blaziken Mega Blaziken,blaziken-mega-blaziken
Mudkip,mudkip
Marshtomp,marshtomp
Swampert,swampert
Swampert Mega Swampert,swampert-mega-swampert
Poochyena,poochyena
Mightyena,mightyena
Zigzagoon,zigzagoon
Zigzagoon Galarian Zigzagoon,zigzagoon-galar-zigzagoon
Linoone,linoone
Linoone Galarian Linoone,linoone-galar-linoone
Wurmple,wurmple
Silcoon,silcoon
Beautifly,beautifly
Cascoon,cascoon
Dustox,dustox
Lotad,lotad
Lombre,lombre
Ludicolo,ludicolo
Seedot,seedot
Nuzleaf,nuzleaf
Shiftry,shiftry
Taillow,taillow
Swellow,swellow
Wingull,wingull
Pelipper,pelipper
Ralts,ralts
Kirlia,kirlia
Gardevoir,gardevoir
Gardevoir Mega Gardevoir,gardevoir-mega-gardevoir
Surskit,surskit
Masquerain,masquerain
Shroomish,shroomish
Breloom,breloom
Slakoth,slakoth
Vigoroth,vigoroth
Slaking,slaking
Nincada,nincada
Ninjask,ninjask
Shedinja,shedinja
Whismur,whismur
Loudred,loudred
Exploud,exploud
Makuhita,makuhita
Hariyama,hariyama
Azurill,azurill
Nosepass,nosepass
Skitty,skitty
Delcatty,delcatty
Sableye,sableye
Sableye Mega Sableye,sableye-mega-sableye
Mawile,mawile
Mawile Mega Mawile,mawile-mega-mawile
Aron,aron
Lairon,lairon
Aggron,aggron
Aggron Mega Aggron,aggron-mega-aggron
Meditite,meditite
Medicham,medicham
Medicham Mega Medicham,medicham-mega-medicham
Electrike,electrike
Manectric,manectric
Manectric Mega Manectric,manectric-mega-manectric
Plusle,plusle
Minun,minun
Volbeat,volbeat
Illumise,illumise
Roselia,roselia
Gulpin,gulpin
Swalot,swalot
Carvanha,carvanha
Sharpedo,sharpedo
Sharpedo Mega Sharpedo,sharpedo-mega-sharpedo
Wailmer,wailmer
Wailord,wailord
Numel,numel
Camerupt,camerupt
Camerupt Mega Camerupt,camerupt-mega-camerupt
Torkoal,torkoal
Spoink,spoink
Grumpig,grumpig
Spinda,spinda
Trapinch,trapinch
Vibrava,vibrava
Flygon,flygon
Cacnea,cacnea
Cacturne,cacturne
Swablu,swablu
Altaria,altaria
Altaria Mega Altaria,altaria-mega-altaria
Zangoose,zangoose
Seviper,seviper
Lunatone,lunatone
Solrock,solrock
Barboach,barboach
Whiscash,whiscash
Corphish,corphish
Crawdaunt,crawdaunt
Baltoy,baltoy
Claydol,claydol
Lileep,lileep
Cradily,cradily
Anorith,anorith
Armaldo,armaldo
Feebas,feebas
Milotic,milotic
Castform,castform
Castform Sunny Form,castform-sunny-form
Castform Rainy Form,castform-rainy-form
Castform Snowy Form,castform-snowy-form
Kecleon,kecleon
Shuppet,shuppet
Banette,banette
Banette Mega Banette,banette-mega-banette
Duskull,duskull
Dusclops,dusclops
Tropius,tropius
Chimecho,chimecho
Absol,absol
Absol Mega Absol,absol-mega-absol
Wynaut,wynaut
Snorunt,snorunt
Glalie,glalie
Glalie Mega Glalie,glalie-mega-glalie
Spheal,spheal
Sealeo,sealeo
Walrein,walrein
Clamperl,clamperl
Huntail,huntail
Gorebyss,gorebyss
Relicanth,relicanth
Luvdisc,luvdisc
Bagon,bagon
Shelgon,shelgon
Salamence,salamence
Salamence Mega Salamence,salamence-mega-salamence
Beldum,beldum
Metang,metang
Metagross,metagross
Metagross Mega Metagross,metagross-mega-metagross
Regirock,regirock
Regice,regice
Registeel,registeel
Latias,latias
Latias Mega Latias,latias-mega-latias
Latios,latios
Latios Mega Latios,latios-mega-latios
Kyogre,kyogre
Kyogre Primal Kyogre,kyogre-primal-kyogre
Groudon,groudon
Groudon Primal Groudon,groudon-primal-groudon
Rayquaza,rayquaza
Rayquaza Mega Rayquaza,rayquaza-mega-rayquaza
Jirachi,jirachi
Deoxys Normal Forme,deoxys-normal-forme
Deoxys Attack Forme,deoxys-attack-forme
Deoxys Defense Forme,deoxys-defense-forme
Deoxys Speed Forme,deoxys-speed-forme
Turtwig,turtwig
Grotle,grotle
Torterra,torterra
Chimchar,chimchar
Monferno,monferno
Infernape,infernape
Piplup,piplup
Prinplup,prinplup
Empoleon,empoleon
Starly,starly
Staravia,staravia
Staraptor,staraptor
Bidoof,bidoof
Bibarel,bibarel
Kricketot,kricketot
Kricketune,kricketune
Shinx,shinx
Luxio,luxio
Luxray,luxray
Budew,budew
Roserade,roserade
Cranidos,cranidos
Rampardos,rampardos
Shieldon,shieldon
Bastiodon,bastiodon
Burmy Plant Cloak,burmy-plant-cloak
Burmy Sandy Cloak,burmy-sandy-cloak
Burmy Trash Cloak,burmy-trash-cloak
Wormadam Plant Cloak,wormadam-plant-cloak
Wormadam Sandy Cloak,wormadam-sandy-cloak
Wormadam Trash Cloak,wormadam-trash-cloak
Mothim,mothim
Combee,combee
Vespiquen,vespiquen
Pachirisu,pachirisu
Buizel,buizel
Floatzel,floatzel
Cherubi,cherubi
Cherrim,cherrim
Shellos,shellos
Gastrodon,gastrodon
Ambipom,ambipom
Drifloon,drifloon
Drifblim,drifblim
Buneary,buneary
Lopunny,lopunny
Lopunny Mega Lopunny,lopunny-mega-lopunny
Mismagius,mismagius
Honchkrow,honchkrow
Glameow,glameow
Purugly,purugly
Chingling,chingling
Stunky,stunky
Skuntank,skuntank
Bronzor,bronzor
Bronzong,bronzong
Bonsly,bonsly
Mime Jr.,mime-jr
Happiny,happiny
Chatot,chatot
Spiritomb,spiritomb
Gible,gible
Gabite,gabite
Garchomp,garchomp
Garchomp Mega Garchomp,garchomp-mega-garchomp
Munchlax,munchlax
Riolu,riolu
Lucario,lucario
Lucario Mega Lucario,lucario-mega-lucario
Hippopotas,hippopotas
Hippowdon,hippowdon
Skorupi,skorupi
Drapion,drapion
Croagunk,croagunk
Toxicroak,toxicroak
Carnivine,carnivine
Finneon,finneon
Lumineon,lumineon
Mantyke,mantyke
Snover,snover
Abomasnow,abomasnow
Abomasnow Mega Abomasnow,abomasnow-mega-abomasnow
Weavile,weavile
Magnezone,magnezone
Lickilicky,lickilicky
Rhyperior,rhyperior
Tangrowth,tangrowth
Electivire,electivire
Magmortar,magmortar
Togekiss,togekiss
Yanmega,yanmega
Leafeon,leafeon
Glaceon,glaceon
Gliscor,gliscor
Mamoswine,mamoswine
Porygon-Z,porygon-z
Gallade,gallade
Gallade Mega Gallade,gallade-mega-gallade
Probopass,probopass
Dusknoir,dusknoir
Froslass,froslass
Rotom,rotom
Rotom Heat Rotom,rotom-heat-rotom
Rotom Wash Rotom,rotom-wash-rotom
Rotom Frost Rotom,rotom-frost-rotom
Rotom Fan Rotom,rotom-fan-rotom
Rotom Mow Rotom,rotom-mow-rotom
Uxie,uxie
Mesprit,mesprit
Azelf,azelf
Dialga,dialga
Dialga Origin Forme,dialga-origin-forme
Palkia,palkia
Palkia Origin Forme,palkia-origin-forme
Heatran,heatran
Regigigas,regigigas
Giratina Altered Forme,giratina-altered-forme
Giratina Origin Forme,giratina-origin-forme
Cresselia,cresselia
Phione,phione
Manaphy,manaphy
Darkrai,darkrai
Shaymin Land Forme,shaymin-land-forme
Shaymin Sky Forme,shaymin-sky-forme
Arceus,arceus
Victini,victini
Snivy,snivy
Servine,servine
Serperior,serperior
Tepig,tepig
Pignite,pignite
Emboar,emboar
Oshawott,oshawott
Dewott,dewott
Samurott,samurott
Samurott Hisuian Samurott,samurott-hisui-samurott
Patrat,patrat
Watchog,watchog
Lillipup,lillipup
Herdier,herdier
Stoutland,stoutland
Purrloin,purrloin
Liepard,liepard
Pansage,pansage
Simisage,simisage
Pansear,pansear
Simisear,simisear
Panpour,panpour
Simipour,simipour
Munna,munna
Musharna,musharna
Pidove,pidove
Tranquill,tranquill
Unfezant,unfezant
Blitzle,blitzle
Zebstrika,zebstrika
Roggenrola,roggenrola
Boldore,boldore
Gigalith,gigalith
Woobat,woobat
Swoobat,swoobat
Drilbur,drilbur
Excadrill,excadrill
Audino,audino
Audino Mega Audino,audino-mega-audino
Timburr,timburr
Gurdurr,gurdurr
Conkeldurr,conkeldurr
Tympole,tympole
Palpitoad,palpitoad
Seismitoad,seismitoad
Throh,throh
Sawk,sawk
Sewaddle,sewaddle
Swadloon,swadloon
Leavanny,leavanny
Venipede,venipede
Whirlipede,whirlipede
Scolipede,scolipede
Cottonee,cottonee
Whimsicott,whimsicott
Petilil,petilil
Lilligant,lilligant
Lilligant Hisuian Lilligant,lilligant-hisui-lilligant
Basculin Red-Striped Form,basculin-red-striped-form
Basculin Blue-Striped Form,basculin-blue-striped-form
Basculin White-Striped Form,basculin-white-striped-form
Sandile,sandile
Krokorok,krokorok
Krookodile,krookodile
Darumaka,darumaka
Darumaka Galarian Darumaka,darumaka-galar-darumaka
Darmanitan Standard Mode,darmanitan-standard-mode
Darmanitan Zen Mode,darmanitan-zen-mode
Darmanitan Galarian Standard Mode,darmanitan-galar-standard-mode
Darmanitan Galarian Zen Mode,darmanitan-galar-zen-mode
Maractus,maractus
Dwebble,dwebble
Crustle,crustle
Scraggy,scraggy
Scrafty,scrafty
Sigilyph,sigilyph
Yamask,yamask
Yamask Galarian Yamask,yamask-galar-yamask
Cofagrigus,cofagrigus
Tirtouga,tirtouga
Carracosta,carracosta
Archen,archen
Archeops,archeops
Trubbish,trubbish
Garbodor,garbodor
Zorua,zorua
Zorua Hisuian Zorua,zorua-hisui-zorua
Zoroark,zoroark
Zoroark Hisuian Zoroark,zoroark-hisui-zoroark
Minccino,minccino
Cinccino,cinccino
Gothita,gothita
Gothorita,gothorita
Gothitelle,gothitelle
Solosis,solosis
Duosion,duosion
Reuniclus,reuniclus
Ducklett,ducklett
Swanna,swanna
Vanillite,vanillite
Vanillish,vanillish
Vanilluxe,vanilluxe
Deerling,deerling
Sawsbuck,sawsbuck
Emolga,emolga
Karrablast,karrablast
Escavalier,escavalier
Foongus,foongus
Amoonguss,amoonguss
Frillish,frillish
Jellicent,jellicent
Alomomola,alomomola
Joltik,joltik
Galvantula,galvantula
Ferroseed,ferroseed
Ferrothorn,ferrothorn
Klink,klink
Klang,klang
Klinklang,klinklang
Tynamo,tynamo
Eelektrik,eelektrik
Eelektross,eelektross
Elgyem,elgyem
Beheeyem,beheeyem
Litwick,litwick
Lampent,lampent
Chandelure,chandelure
Axew,axew
Fraxure,fraxure
Haxorus,haxorus
Cubchoo,cubchoo
Beartic,beartic
Cryogonal,cryogonal
Shelmet,shelmet
Accelgor,accelgor
Stunfisk,stunfisk
Stunfisk Galarian Stunfisk,stunfisk-galar-stunfisk
Mienfoo,mienfoo
Mienshao,mienshao
Druddigon,druddigon
Golett,golett
Golurk,golurk
Pawniard,pawniard
Bisharp,bisharp
Bouffalant,bouffalant
Rufflet,rufflet
Braviary,braviary
Braviary Hisuian Braviary,braviary-hisui-braviary
Vullaby,vullaby
Mandibuzz,mandibuzz
Heatmor,heatmor
Durant,durant
Deino,deino
Zweilous,zweilous
Hydreigon,hydreigon
Larvesta,larvesta
Volcarona,volcarona
Cobalion,cobalion
Terrakion,terrakion
Virizion,virizion
Tornadus Incarnate Forme,tornadus-incarnatee
Tornadus Therian Forme,tornadus-theriane
Thundurus Incarnate Forme,thundurus-incarnatee
Thundurus Therian Forme,thundurus-theriane
Reshiram,reshiram
Zekrom,zekrom
Landorus Incarnate Forme,landorus-incarnatee
Landorus Therian Forme,landorus-theriane
Kyurem,kyurem
Kyurem White Kyurem,kyurem-white-kyurem
Kyurem Black Kyurem,kyurem-black-kyurem
Keldeo Ordinary Form,keldeo-ordinary-form
Keldeo Resolute Form,keldeo-resolute-form
Meloetta Aria Forme,meloetta-aria-forme
Meloetta Pirouette Forme,meloetta-pirouette-forme
Genesect,genesect
Chespin,chespin
Quilladin,quilladin
Chesnaught,chesnaught
Fennekin,fennekin
Braixen,braixen
Delphox,delphox
Froakie,froakie
Frogadier,frogadier
Greninja,greninja
Greninja Ash-Greninja,greninja-ash-greninja
Bunnelby,bunnelby
Diggersby,diggersby
Fletchling,fletchling
Fletchinder,fletchinder
Talonflame,talonflame
Scatterbug,scatterbug
Spewpa,spewpa
Vivillon,vivillon
Litleo,litleo
Pyroar,pyroar
Flabébé,flabb
Floette,floette
Florges,florges
Skiddo,skiddo
Gogoat,gogoat
Pancham,pancham
Pangoro,pangoro
Furfrou,furfrou
Espurr,espurr
Meowstic Male,meowstic-male
Meowstic Female,meowstic-female
Honedge,honedge
Doublade,doublade
Aegislash Shield Forme,aegislash-shield-forme
Aegislash Blade Forme,aegislash-blade-forme
Spritzee,spritzee
Aromatisse,aromatisse
Swirlix,swirlix
Slurpuff,slurpuff
Inkay,inkay
Malamar,malamar
Malamar Mega Malamar,malamar-mega-malamar
Binacle,binacle
Barbaracle,barbaracle
Skrelp,skrelp
Dragalge,dragalge
Clauncher,clauncher
Clawitzer,clawitzer
Helioptile,helioptile
Heliolisk,heliolisk
Tyrunt,tyrunt
Tyrantrum,tyrantrum
Amaura,amaura
Aurorus,aurorus
Sylveon,sylveon
Hawlucha,hawlucha
Hawlucha Mega Hawlucha,hawlucha-mega-hawlucha
Dedenne,dedenne
Carbink,carbink
Goomy,goomy
Sliggoo,sliggoo
Sliggoo Hisuian Sliggoo,sliggoo-hisui-sliggoo
Goodra,goodra
Goodra Hisuian Goodra,goodra-hisui-goodra
Klefki,klefki
Phantump,phantump
Trevenant,trevenant
Pumpkaboo Average Size,pumpkaboo-average-size
Pumpkaboo Small Size,pumpkaboo-small-size
Pumpkaboo Large Size,pumpkaboo-large-size
Pumpkaboo Super Size,pumpkaboo-super-size
Gourgeist Average Size,gourgeist-average-size
Gourgeist Small Size,gourgeist-small-size
Gourgeist Large Size,gourgeist-large-size
Gourgeist Super Size,gourgeist-super-size
Bergmite,bergmite
Avalugg,avalugg
Avalugg Hisuian Avalugg,avalugg-hisui-avalugg
Noibat,noibat
Noivern,noivern
Xerneas,xerneas
Yveltal,yveltal
Zygarde 50% Forme,zygarde-50-forme
Zygarde 10% Forme,zygarde-10-forme
Zygarde Complete Forme,zygarde-complete-forme
Diancie,diancie
Diancie Mega Diancie,diancie-mega-diancie
Hoopa Hoopa Confined,hoopa-hoopa-confined
Hoopa Hoopa Unbound,hoopa-hoopa-unbound
Volcanion,volcanion
Rowlet,rowlet
Dartrix,dartrix
Decidueye,decidueye
Decidueye Hisuian Decidueye,decidueye-hisui-decidueye
Litten,litten
Torracat,torracat
Incineroar,incineroar
Popplio,popplio
Brionne,brionne
Primarina,primarina
Pikipek,pikipek
Trumbeak,trumbeak
Toucannon,toucannon
Yungoos,yungoos
Gumshoos,gumshoos
Grubbin,grubbin
Charjabug,charjabug
Vikavolt,vikavolt
Crabrawler,crabrawler
Crabominable,crabominable
Oricorio Baile Style,oricorio-baile-style
Oricorio Pom-Pom Style,oricorio-pom-pom-style
Oricorio Pa'u Style,oricorio-pau-style
Oricorio Sensu Style,oricorio-sensu-style
Cutiefly,cutiefly
Ribombee,ribombee
Rockruff,rockruff
Rockruff Own Tempo Rockruff,rockruff-own-tempo-rockruff
Lycanroc Midday Form,lycanroc-midday-form
Lycanroc Midnight Form,lycanroc-midnight-form
Lycanroc Dusk Form,lycanroc-dusk-form
Wishiwashi Solo Form,wishiwashi-solo-form
Wishiwashi School Form,wishiwashi-school-form
Mareanie,mareanie
Toxapex,toxapex
Mudbray,mudbray
Mudsdale,mudsdale
Dewpider,dewpider
Araquanid,araquanid
Fomantis,fomantis
Lurantis,lurantis
Morelull,morelull
Shiinotic,shiinotic
Salandit,salandit
Salazzle,salazzle
Stufful,stufful
Bewear,bewear
Bounsweet,bounsweet
Steenee,steenee
Tsareena,tsareena
Comfey,comfey
Oranguru,oranguru
Passimian,passimian
Wimpod,wimpod
Golisopod,golisopod
Sandygast,sandygast
Palossand,palossand
Pyukumuku,pyukumuku
Type: Null,type-null
Silvally,silvally
Minior Meteor Form,minior-meteor-form
Minior Core Form,minior-core-form
Komala,komala
Turtonator,turtonator
Togedemaru,togedemaru
Mimikyu,mimikyu
Bruxish,bruxish
Drampa,drampa
Dhelmise,dhelmise
Jangmo-o,jangmo-o
Hakamo-o,hakamo-o
Kommo-o,kommo-o
Tapu Koko,tapu-koko
Tapu Lele,tapu-lele
Tapu Bulu,tapu-bulu
Tapu Fini,tapu-fini
Cosmog,cosmog
Cosmoem,cosmoem
Solgaleo,solgaleo
Lunala,lunala
Nihilego,nihilego
Buzzwole,buzzwole
Pheromosa,pheromosa
Xurkitree,xurkitree
Celesteela,celesteela
Kartana,kartana
Guzzlord,guzzlord
Necrozma,necrozma
Necrozma Dusk Mane Necrozma,necrozma-dusk-mane-necrozma
Necrozma Dawn Wings Necrozma,necrozma-dawn-wings-necrozma
Necrozma Ultra Necrozma,necrozma-ultra-necrozma
Magearna,magearna
Marshadow,marshadow
Poipole,poipole
Naganadel,naganadel
Stakataka,stakataka
Blacephalon,blacephalon
Zeraora,zeraora
Meltan,meltan
Melmetal,melmetal
Grookey,grookey
Thwackey,thwackey
Rillaboom,rillaboom
Scorbunny,scorbunny
Raboot,raboot
Cinderace,cinderace
Sobble,sobble
Drizzile,drizzile
Inteleon,inteleon
Skwovet,skwovet
Greedent,greedent
Rookidee,rookidee
Corvisquire,corvisquire
Corviknight,corviknight
Blipbug,blipbug
Dottler,dottler
Orbeetle,orbeetle
Nickit,nickit
Thievul,thievul
Gossifleur,gossifleur
Eldegoss,eldegoss
Wooloo,wooloo
Dubwool,dubwool
Chewtle,chewtle
Drednaw,drednaw
Yamper,yamper
Boltund,boltund
Rolycoly,rolycoly
Carkol,carkol
Coalossal,coalossal
Applin,applin
Flapple,flapple
Appletun,appletun
Silicobra,silicobra
Sandaconda,sandaconda
Cramorant,cramorant
Arrokuda,arrokuda
Barraskewda,barraskewda
Toxel,toxel
Toxtricity Amped Form,toxtricity-amped-form
Toxtricity Low Key Form,toxtricity-low-key-form
Sizzlipede,sizzlipede
Centiskorch,centiskorch
Clobbopus,clobbopus
Grapploct,grapploct
Sinistea,sinistea
Polteageist,polteageist
Hatenna,hatenna
Hattrem,hattrem
Hatterene,hatterene
Impidimp,impidimp
Morgrem,morgrem
Grimmsnarl,grimmsnarl
Obstagoon,obstagoon
Perrserker,perrserker
Cursola,cursola
Sirfetch'd,sirfetchd
Mr. Rime,mr-rime
Runerigus,runerigus
Milcery,milcery
Alcremie,alcremie
Falinks,falinks
Pincurchin,pincurchin
Snom,snom
Frosmoth,frosmoth
Stonjourner,stonjourner
Eiscue Ice Face,eiscue-ice-face
Eiscue Noice Face,eiscue-noice-face
Indeedee Male,indeedee-male
Indeedee Female,indeedee-female
Morpeko Full Belly Mode,morpeko-full-belly-mode
Morpeko Hangry Mode,morpeko-hangry-mode
Cufant,cufant
Copperajah,copperajah
Dracozolt,dracozolt
Arctozolt,arctozolt
Dracovish,dracovish
Arctovish,arctovish
Duraludon,duraludon
