TM,Move,Type,Category,PP,Power,Accuracy,Range,Effect
37,Comeuppance,Dark,Physical,10,N/A,100%,1,Deals more damage to the opponent that last inflicted damage on it.
38,Crunch,Dark,Physical,15,8,100%,1,May lower opponent's Defense.
39,Dark Pulse,Dark,Special,15,8,100%,Burst,May cause flinching.
40,Dark Void,Dark,Status,10,N/A,50%,Room,Puts all adjacent opponents to sleep.
41,Darkest Lariat,Dark,Physical,10,9,100%,2D,Ignores opponent's stat changes.
42,Embargo,Dark,Status,15,N/A,100%,1,Opponent cannot use items.
43,Fake Tears,Dark,Status,20,N/A,100%,1,Sharply lowers opponent's Special Defense.
44,False Surrender,Dark,Physical,10,8,—,1,Ignores Accuracy and Evasiveness.
45,Feint Attack,Dark,Physical,20,6,—,1,Ignores Accuracy and Evasiveness.
46,Fiery Wrath,Dark,Special,10,9,100%,1,May cause flinching.
47,Flatter,Dark,Status,15,N/A,100%,1,"Confuses opponent, but raises its Special Attack."
48,Fling,Dark,Physical,10,N/A,100%,1D,Power depends on held item.
49,Foul Play,Dark,Physical,15,10,100%,1,Uses the opponent's Attack stat.
50,Hone Claws,Dark,Status,15,N/A,—,Self,Raises user's Attack and Accuracy.
51,Hyperspace Fury,Dark,Physical,5,10,—,10,Lowers user's Defense. Can strike through Protect/Detect.
52,Jaw Lock,Dark,Physical,10,8,100%,1,Prevents user and opponent from switching out.
53,Knock Off,Dark,Physical,20,7,100%,1,Removes opponent's held item for the rest of the battle.
54,Kowtow Cleave,Dark,Physical,10,9,—,1,Always hits.
55,Lash Out,Dark,Physical,5,8,100%,1,Double power if stats were lowered during the turn.
56,Memento,Dark,Status,10,N/A,100%,Room,"User faints, sharply lowers opponent's Attack and Special Attack."
57,Nasty Plot,Dark,Status,20,N/A,—,Self,Sharply raises user's Special Attack.
58,Night Daze,Dark,Special,10,9,95%,Burst,May lower opponent's Accuracy.
59,Night Slash,Dark,Physical,15,7,100%,1,High critical hit ratio.
60,Obstruct,Dark,Status,10,N/A,100%,Self,Protects the user and sharply lowers Defence on contact.
61,Parting Shot,Dark,Status,20,N/A,100%,1,Lowers opponent's Attack and Special Attack then switches out.
62,Payback,Dark,Physical,10,5,100%,Self,Power doubles if the user was attacked first.
63,Power Trip,Dark,Physical,10,2,100%,1,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power."
64,Punishment,Dark,Physical,5,N/A,100%,1,Power increases when opponent's stats have been raised.
65,Pursuit,Dark,Physical,20,4,100%,1,Double power if the opponent is switching out.
66,Quash,Dark,Status,15,N/A,100%,1,Makes the target act last this turn.
67,Ruination,Dark,Special,10,N/A,90%,1D,Halves the opponent's HP.
68,Snarl,Dark,Special,15,6,95%,Burst,Lowers opponent's Special Attack.
69,Snatch,Dark,Status,10,N/A,—,Self,Steals the effects of the opponent's next move.
70,Sucker Punch,Dark,Physical,5,7,100%,2,"User attacks first, but only works if opponent is readying an attack."
71,Switcheroo,Dark,Status,10,N/A,100%,1,Swaps held items with the opponent.
72,Taunt,Dark,Status,20,N/A,100%,1,Opponent can only use moves that attack.
73,Thief,Dark,Physical,25,6,100%,1,Also steals opponent's held item.
74,Throat Chop,Dark,Physical,15,8,100%,1,Prevents use of sound moves for two turns.
75,Topsy-Turvy,Dark,Status,20,N/A,—,1,Reverses stat changes of opponent.
76,Torment,Dark,Status,15,N/A,100%,1,Opponent cannot use the same move in a row.
77,Wicked Blow,Dark,Physical,5,8,100%,1,Always results in a critical hit and ignores stat changes.
78,Wicked Torque,Dark,Physical,10,8,100%,1,May put opponent to sleep.
79,Breaking Swipe,Dragon,Physical,15,6,100%,Burst,Hits multiple opponents and lowers their attack.
80,Clanging Scales,Dragon,Special,5,11,100%,2,Lowers user's Defense.
81,Clangorous Soul,Dragon,Status,5,N/A,100%,Self,Raises all user's stats but loses HP.
82,Core Enforcer,Dragon,Special,10,10,100%,1D,Suppresses the target's ability if the target has already moved.
83,Draco Meteor,Dragon,Special,5,13,90%,Room,Sharply lowers user's Special Attack.
84,Dragon Breath,Dragon,Special,20,6,100%,10,May paralyze opponent.
85,Dragon Cheer,Dragon,Status,15,N/A,—%,1,Raises critical hit rate by 1; raises critical hit rate by 2 is the target is a dragon type. This cannot be used on the same pokemon multiple times.
86,Dragon Claw,Dragon,Physical,15,8,100%,1,—
87,Dragon Dance,Dragon,Status,20,N/A,—,Self,Raises user's Attack and Speed.
88,Dragon Darts,Dragon,Physical,10,5,100%,2D,User attacks twice.
89,Dragon Energy,Dragon,Special,5,15,100%,1D,"The higher the user's HP, the higher the power."
90,Dragon Hammer,Dragon,Physical,15,9,100%,1,The user uses its body like a hammer to attack the target and inflict damage.
91,Dragon Pulse,Dragon,Special,10,9,100%,1D,—
92,Dragon Rage,Dragon,Special,10,N/A,100%,1D,Always inflicts 4— HP.
93,Dragon Rush,Dragon,Physical,10,10,75%,1,May cause flinching.
94,Dragon Tail,Dragon,Physical,10,6,90%,1,"In battles, the opponent switches. In the wild, the Pokémon runs."
95,Dual Chop,Dragon,Physical,15,4,90%,1,Hits twice in one turn.
96,Dynamax Cannon,Dragon,Special,5,10,100%,10P,Damage doubles if opponent is Dynamaxed.
97,Eternabeam,Dragon,Special,5,16,90%,10P,User can't move on the next turn.
98,Fickle Beam,Dragon,Special,5,8,100%,10,May deal double damage.
99,Glaive Rush,Dragon,Physical,5,12,100%,1,Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.
100,Order Up,Dragon,Physical,10,8,100%,1,Boosts Attack/Defense/Speed depending on ally Tatsugiri.
101,Outrage,Dragon,Physical,10,12,100%,1,User attacks for 2-3 turns but then becomes confused.
102,Roar of Time,Dragon,Special,5,15,90%,Room,User must recharge next turn.
103,Scale Shot,Dragon,Physical,20,3,90%,2,Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.
104,Spacial Rend,Dragon,Special,5,10,95%,Room,High critical hit ratio.
105,Twister,Dragon,Special,20,4,100%,1D,May cause flinching. Hits Pokémon using Fly/Bounce with double power.
106,Aura Wheel,Electric,Physical,10,11,100%,1,Changes type based on Morpeko's Mode.
107,Bolt Beak,Electric,Physical,10,9,100%,1,"If the user attacks before the target, the power of this move is doubled."
108,Bolt Strike,Electric,Physical,5,13,85%,10P,May paralyze opponent.
109,Charge,Electric,Status,20,N/A,—,Self,Raises user's Special Defense and next Electric move's power increases.
110,Charge Beam,Electric,Special,10,5,90%,1D,May raise user's Special Attack.
111,Discharge,Electric,Special,15,8,100%,Room,May paralyze opponent.
112,Double Shock,Electric,Physical,5,12,100%,1,"After using this move, the user will no longer be Electric type."
113,Eerie Impulse,Electric,Status,15,N/A,100%,1D,Sharply lowers opponent's Special Attack.
114,Electric Terrain,Electric,Status,10,N/A,—,Floor,Prevents all Pokémon from falling asleep for 5 turns.
115,Electrify,Electric,Status,20,N/A,—,1,Changes the target's move to Electric type.
116,Electro Ball,Electric,Special,10,N/A,100%,1D,"The faster the user, the stronger the attack."
117,Electro Drift,Electric,Special,5,10,100%,1,Boosted even more if it's super-effective.
118,Electro Shot,Electric,Special,10,13,100%,10,"Charges on first turn, attacks on second."
119,Electroweb,Electric,Special,15,6,95%,1D,Lowers opponent's Speed.
120,Fusion Bolt,Electric,Physical,5,10,100%,5A,Power increases if Fusion Flare is used in the same turn.
121,Ion Deluge,Electric,Status,25,N/A,—,Floor,Changes Normal-type moves to Electric-type.
122,Magnet Rise,Electric,Status,10,N/A,—,Self,User becomes immune to Ground-type moves for 5 turns.
123,Magnetic Flux,Electric,Status,20,N/A,—,Allies,Raises Defense and Sp. Defense of Plus/Minus Pokémon.
124,Nuzzle,Electric,Physical,20,2,100%,1,Paralyzes opponent.
125,Overdrive,Electric,Special,10,8,100%,Burst,Hits all adjacent opponents.
126,Parabolic Charge,Electric,Special,20,7,100%,Burst,User recovers half the HP inflicted on opponent.
127,Plasma Fists,Electric,Physical,15,10,100%,1,Changes Normal-type moves to Electric-type moves.
128,Rising Voltage,Electric,Special,20,7,100%,1,Power doubles on Electric Terrain.
129,Shock Wave,Electric,Special,20,6,—,Burst,Ignores Accuracy and Evasiveness.
130,Spark,Electric,Physical,20,7,100%,1,May paralyze opponent.
131,Supercell Slam,Electric,Physical,15,10,95%,1,"If the move misses, the user takes damage instead."
132,Thunder,Electric,Special,10,11,70%,1,May paralyze opponent.
133,Thunder Cage,Electric,Special,15,8,90%,1,"Deals damage and traps opponent, damaging them for 4-5 turns."
134,Thunder Fang,Electric,Physical,15,7,95%,1,May cause flinching and/or paralyze opponent.
135,Thunder Punch,Electric,Physical,15,8,100%,1,May paralyze opponent.
136,Thunder Shock,Electric,Special,30,4,100%,1,May paralyze opponent.
137,Thunder Wave,Electric,Status,20,N/A,90%,1,Paralyzes opponent.
138,Thunderbolt,Electric,Special,15,9,100%,Burst,May paralyze opponent.
139,Thunderclap,Electric,Special,5,7,100%,1,Strikes before a target's move.
140,Volt Switch,Electric,Special,20,7,100%,1,User must switch out after attacking.
141,Volt Tackle,Electric,Physical,15,12,100%,2,User receives recoil damage. May paralyze opponent.
142,Wild Charge,Electric,Physical,15,9,100%,1,User receives recoil damage.
143,Wildbolt Storm,Electric,Special,10,10,80%,1,May paralyze target.
144,Zap Cannon,Electric,Special,5,12,50%,10,Paralyzes opponent.
145,Zing Zap,Electric,Physical,10,8,100%,2,May cause flinching.
146,Alluring Voice,Fairy,Special,10,8,100%,1,Confuses the target if they have any stat boosts.
147,Aromatic Mist,Fairy,Status,20,N/A,—,Allies,Raises Special Defense of an ally.
148,Baby-Doll Eyes,Fairy,Status,30,N/A,100%,1,Always goes first. Lowers the target's attack.
149,Charm,Fairy,Status,20,N/A,100%,1,Sharply lowers opponent's Attack.
150,Crafty Shield,Fairy,Status,10,N/A,—,Allies,Protects the Pokémon from status moves.
151,Dazzling Gleam,Fairy,Special,10,8,100%,Burst,Hits all adjacent opponents.
152,Decorate,Fairy,Status,15,N/A,—,1D,Sharply raises target's Attack and Special Attack.
153,Disarming Voice,Fairy,Special,15,4,—,Burst,Ignores Accuracy and Evasiveness.
154,Draining Kiss,Fairy,Special,10,5,100%,1,User recovers most the HP inflicted on opponent.
155,Fairy Lock,Fairy,Status,10,N/A,—,Burst,Prevents fleeing in the next turn.
156,Fairy Wind,Fairy,Special,30,4,100%,1,—
157,Fleur Cannon,Fairy,Special,5,13,90%,10,Sharply lowers user's Special Attack.
158,Floral Healing,Fairy,Status,10,N/A,—,1D,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.
159,Flower Shield,Fairy,Status,10,N/A,—,Allies,Sharply raises Defense of all Grass-type Pokémon on the field.
160,Geomancy,Fairy,Status,10,N/A,—,Allies,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second."
161,Light of Ruin,Fairy,Special,5,14,90%,1,User receives recoil damage.
162,Magical Torque,Fairy,Physical,10,10,100%,1,May confuse the opponent.
163,Misty Explosion,Fairy,Special,5,10,100%,Burst,Power increases on Misty Terrain.
164,Misty Terrain,Fairy,Status,10,N/A,—,Floor,Protects the field from status conditions for 5 turns.
165,Moonblast,Fairy,Special,15,10,100%,1,May lower opponent's Special Attack.
166,Moonlight,Fairy,Status,5,N/A,—,Allies,User recovers HP. Amount varies with the weather.
167,Nature's Madness,Fairy,Special,10,N/A,90%,1,Halves the foe's HP.
168,Play Rough,Fairy,Physical,10,9,90%,1,May lower opponent's Attack.
169,Spirit Break,Fairy,Physical,15,8,100%,1,Lowers opponent's Special Attack.
170,Springtide Storm,Fairy,Special,5,10,80%,Room,"Boosts user's stats in Incarnate Forme, or lowers opponent's stats in Therian Forme."
171,Strange Steam,Fairy,Special,10,9,95%,2D,May confuse opponent.
172,Sweet Kiss,Fairy,Status,10,N/A,75%,1,Confuses opponent.
173,Arm Thrust,Fighting,Physical,20,2,100%,1,Hits 2-5 times in one turn.
174,Aura Sphere,Fighting,Special,20,8,—,10,Ignores Accuracy and Evasiveness.
175,Axe Kick,Fighting,Physical,10,12,90%,1,"May confuse opponent. If it misses, the user loses HP."
176,Body Press,Fighting,Physical,10,8,100%,1,"The higher the user's Defense, the stronger the attack."
177,Brick Break,Fighting,Physical,15,8,100%,1,Breaks through Reflect and Light Screen barriers.
178,Bulk Up,Fighting,Status,20,N/A,—,Self,Raises user's Attack and Defense.
179,Circle Throw,Fighting,Physical,10,6,90%,1,"In battles, the opponent switches. In the wild, the Pokémon runs."
180,Close Combat,Fighting,Physical,5,12,100%,1,Lowers user's Defense and Special Defense.
181,Coaching,Fighting,Status,10,N/A,—,1,Boosts Attack and Defense of a teammate.
182,Collision Course,Fighting,Physical,5,10,100%,1,Boosted even more if it's super-effective.
183,Combat Torque,Fighting,Physical,10,10,100%,1,May paralyze the opponent.
184,Counter,Fighting,Physical,20,N/A,100%,1,"When hit by a Physical Attack, user strikes back with 2x power."
185,Cross Chop,Fighting,Physical,5,10,80%,1,High critical hit ratio.
186,Detect,Fighting,Status,5,N/A,—,Self,"Protects the user, but may fail if used consecutively."
187,Double Kick,Fighting,Physical,30,3,100%,1,Hits twice in one turn.
188,Drain Punch,Fighting,Physical,10,8,100%,1,User recovers half the HP inflicted on opponent.
189,Dynamic Punch,Fighting,Physical,5,10,50%,1,Confuses opponent.
190,Final Gambit,Fighting,Special,5,N/A,100%,1,Inflicts damage equal to the user's remaining HP. User faints.
191,Flying Press,Fighting,Physical,10,10,95%,1,Deals Fighting and Flying type damage.
192,Focus Blast,Fighting,Special,5,12,70%,10,May lower opponent's Special Defense.
193,Focus Punch,Fighting,Physical,20,15,100%,1,"If the user is hit before attacking, it flinches instead."
194,Force Palm,Fighting,Physical,10,6,100%,1,May paralyze opponent.
195,Hammer Arm,Fighting,Physical,10,10,90%,1,Lowers user's Speed.
196,High Jump Kick,Fighting,Physical,10,13,90%,1,"If it misses, the user loses half their HP."
197,Jump Kick,Fighting,Physical,10,10,95%,1,"If it misses, the user loses half their HP."
198,Karate Chop,Fighting,Physical,25,5,100%,1,High critical hit ratio.
199,Low Kick,Fighting,Physical,20,N/A,100%,1,"The heavier the opponent, the stronger the attack."
200,Low Sweep,Fighting,Physical,20,7,100%,1,Lowers opponent's Speed.
201,Mach Punch,Fighting,Physical,30,4,100%,2,User attacks first.
202,Mat Block,Fighting,Status,10,N/A,—,Allies,Protects teammates from damaging moves.
203,Meteor Assault,Fighting,Physical,5,15,100%,Room,User must recharge next turn.
204,No Retreat,Fighting,Status,5,N/A,—,Self,Raises all stats but user cannot switch out.
205,Octolock,Fighting,Status,15,N/A,100%,Burst,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out."
206,Power-Up Punch,Fighting,Physical,20,4,100%,1,Raises Attack.
207,Quick Guard,Fighting,Status,15,N/A,—,Allies,Protects the user's team from high-priority moves.
208,Revenge,Fighting,Physical,10,6,100%,1,Power increases if user was hit first.
209,Reversal,Fighting,Physical,15,N/A,100%,1,"The lower the user's HP, the higher the power."
210,Rock Smash,Fighting,Physical,15,4,100%,1,May lower opponent's Defense.
211,Rolling Kick,Fighting,Physical,15,6,85%,1,May cause flinching.
212,Sacred Sword,Fighting,Physical,15,9,100%,1,Ignores opponent's stat changes.
213,Secret Sword,Fighting,Special,10,9,100%,1,"Inflicts damage based on the target's Defense, not Special Defense."
214,Seismic Toss,Fighting,Physical,20,N/A,100%,1,Inflicts damage equal to user's level.
215,Sky Uppercut,Fighting,Physical,15,9,90%,1,"Hits the opponent, even during Fly."
216,Storm Throw,Fighting,Physical,10,6,100%,1,Always results in a critical hit.
217,Submission,Fighting,Physical,20,8,80%,1,User receives recoil damage.
218,Superpower,Fighting,Physical,5,12,100%,1,Lowers user's Attack and Defense.
219,Thunderous Kick,Fighting,Physical,10,9,100%,1,Lowers opponent's Defense.
220,Triple Arrows,Fighting,Physical,10,9,100%,10,High critical hit ratio. May lower opponent's Defense or cause them to flinch.
221,Triple Kick,Fighting,Physical,10,1,90%,1,Hits thrice in one turn at increasing power.
222,Upper Hand,Fighting,Physical,15,7,100%,1,Strikes before a target's priority move.
223,Vacuum Wave,Fighting,Special,30,4,100%,2,User attacks first.
224,Victory Dance,Fighting,Status,10,N/A,—,Self,Raises Attack and Defense.
225,Vital Throw,Fighting,Physical,10,7,—,1,"User attacks last, but ignores Accuracy and Evasiveness."
226,Wake-Up Slap,Fighting,Physical,10,7,100%,1,"Power doubles if opponent is asleep, but wakes it up."
227,Armor Cannon,Fire,Special,5,12,100%,10,Lowers user's Defense and Special Defense.
228,Bitter Blade,Fire,Physical,10,9,100%,1,User recovers half the HP inflicted on opponent.
229,Blast Burn,Fire,Special,5,15,90%,Room,User must recharge next turn.
230,Blaze Kick,Fire,Physical,10,9,90%,1,High critical hit ratio. May burn opponent.
231,Blazing Torque,Fire,Physical,10,8,100%,1,May burn the opponent.
232,Blue Flare,Fire,Special,5,13,85%,Room,May burn opponent.
233,Burn Up,Fire,Special,5,13,100%,1D,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type."
234,Burning Bulwark,Fire,Status,10,N/A,—%,Self,—
235,Burning Jealousy,Fire,Special,5,7,100%,1,"Hits all opponents, and burns any that have had their stats boosted."
236,Ember,Fire,Special,25,4,100%,2D,May burn opponent.
237,Eruption,Fire,Special,5,15,100%,Burst,Stronger when the user's HP is higher.
238,Fiery Dance,Fire,Special,10,8,100%,1,May raise user's Special Attack.
239,Fire Blast,Fire,Special,5,11,85%,1D,May burn opponent.
240,Fire Fang,Fire,Physical,15,7,95%,1,May cause flinching and/or burn opponent.
241,Fire Lash,Fire,Physical,15,8,100%,2,The user strikes the target with a burning lash. This also lowers the target's Defense stat.
242,Fire Pledge,Fire,Special,10,8,100%,1,Added effects appear if combined with Grass Pledge or Water Pledge.
243,Fire Punch,Fire,Physical,15,8,100%,1,May burn opponent.
244,Fire Spin,Fire,Special,15,4,85%,1,"Traps opponent, damaging them for 4-5 turns."
245,Flame Burst,Fire,Special,15,7,100%,10,May also injure nearby Pokémon.
246,Flame Charge,Fire,Physical,20,5,100%,1,Raises user's Speed.
247,Flame Wheel,Fire,Physical,25,6,100%,1,May burn opponent.
248,Flamethrower,Fire,Special,15,9,100%,10,May burn opponent.
249,Flare Blitz,Fire,Physical,15,12,100%,1,User receives recoil damage. May burn opponent.
250,Fusion Flare,Fire,Special,5,10,100%,5A,Power increases if Fusion Bolt is used in the same turn.
251,Heat Crash,Fire,Physical,10,N/A,100%,1,"The heavier the user, the stronger the attack."
252,Heat Wave,Fire,Special,10,10,90%,Room,May burn opponent.
253,Incinerate,Fire,Special,15,6,100%,1D,Destroys the target's held berry.
254,Inferno,Fire,Special,5,10,50%,1,Burns opponent.
255,Lava Plume,Fire,Special,15,8,100%,Burst,May burn opponent.
256,Magma Storm,Fire,Special,5,10,75%,1,"Traps opponent, damaging them for 4-5 turns."
257,Mind Blown,Fire,Special,5,15,100%,2D,User receives recoil damage.
258,Mystical Fire,Fire,Special,10,8,100%,1,Lowers opponent's Special Attack.
259,Overheat,Fire,Special,5,13,90%,Burst,Sharply lowers user's Special Attack.
260,Pyro Ball,Fire,Physical,5,12,90%,10,May burn opponent.
261,Raging Fury,Fire,Physical,10,12,100%,1,User attacks for 2-3 turns but then becomes confused.
262,Sacred Fire,Fire,Physical,5,10,95%,Room,May burn opponent.
263,Searing Shot,Fire,Special,5,10,100%,Burst,May burn opponent.
264,Shell Trap,Fire,Special,5,15,100%,1,Deals more damage to opponent if hit by a Physical move.
265,Sunny Day,Fire,Status,5,N/A,—,Floor,Makes it sunny for 5 turns.
266,Temper Flare,Fire,Physical,10,8,100%,1,Power doubles if the last move failed.
267,Torch Song,Fire,Special,10,8,100%,1D,Raises user's Special Attack.
268,V-create,Fire,Physical,5,18,95%,1,"Lowers user's Defense, Special Defense and Speed."
269,Will-O-Wisp,Fire,Status,15,N/A,85%,1D,Burns opponent.
270,Acrobatics,Flying,Physical,15,6,100%,1,Stronger when the user does not have a held item.
271,Aerial Ace,Flying,Physical,20,6,—,1,Ignores Accuracy and Evasiveness.
272,Aeroblast,Flying,Special,5,10,95%,10P,High critical hit ratio.
273,Air Cutter,Flying,Special,25,6,95%,1,High critical hit ratio.
274,Air Slash,Flying,Special,15,8,95%,1,May cause flinching.
275,Beak Blast,Flying,Physical,15,10,100%,1,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn."
276,Bleakwind Storm,Flying,Special,10,10,80%,1,May lower opponent's Speed.
277,Bounce,Flying,Physical,5,9,85%,1,"Springs up on first turn, attacks on second. May paralyze opponent."
278,Brave Bird,Flying,Physical,15,12,100%,1D,User receives recoil damage.
279,Chatter,Flying,Special,20,7,100%,1,Confuses opponent.
280,Defog,Flying,Status,15,N/A,—,Room,Lowers opponent's Evasiveness and clears fog.
281,Dragon Ascent,Flying,Physical,5,12,100%,5A,Lowers user's Defense and Special Defense.
282,Drill Peck,Flying,Physical,20,8,100%,1,—
283,Dual Wingbeat,Flying,Physical,10,4,90%,1,The user slams the target with its wings. The target is hit twice in a row.
284,Feather Dance,Flying,Status,15,N/A,100%,1,Sharply lowers opponent's Attack.
285,Fly,Flying,Physical,15,9,95%,1,"Flies up on first turn, attacks on second turn."
286,Gust,Flying,Special,35,4,100%,1,Hits Pokémon using Fly/Bounce/Sky Drop with double power.
287,Hurricane,Flying,Special,10,11,70%,1,May confuse opponent.
288,Mirror Move,Flying,Status,20,N/A,—,1,User performs the opponent's last move.
289,Oblivion Wing,Flying,Special,10,8,100%,10P,User recovers most of the HP inflicted on opponent.
290,Peck,Flying,Physical,35,4,100%,1,—
291,Pluck,Flying,Physical,20,6,100%,1,"If the opponent is holding a berry, its effect is stolen by user."
292,Roost,Flying,Status,5,N/A,—,Self,User recovers half of its max HP and loses the Flying type temporarily.
293,Sky Attack,Flying,Physical,5,14,90%,10P,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio."
294,Sky Drop,Flying,Physical,10,6,100%,1,"Takes opponent into the air on first turn, drops them on second turn."
295,Tailwind,Flying,Status,15,N/A,—,Allies,Doubles Speed for 4 turns.
296,Wing Attack,Flying,Physical,35,6,100%,1,—
297,Astonish,Ghost,Physical,15,3,100%,1,May cause flinching.
298,Astral Barrage,Ghost,Special,5,12,100%,10,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.
299,Bitter Malice,Ghost,Special,10,8,100%,1,Lowers opponent's Attack.
300,Confuse Ray,Ghost,Status,10,N/A,100%,1,Confuses opponent.
301,Curse,Ghost,Status,10,N/A,—,1/Self,"Ghosts lose 5—% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed."
302,Destiny Bond,Ghost,Status,5,N/A,—,1,"If the user faints, the opponent also faints."
303,Grudge,Ghost,Status,5,N/A,—,Self,"If the users faints after using this move, the PP for the opponent's last move is depleted."
304,Hex,Ghost,Special,10,7,100%,1,Inflicts more damage if the target has a status condition.
305,Infernal Parade,Ghost,Special,15,6,100%,2,Inflicts double damage if the target has a status condition.
306,Last Respects,Ghost,Physical,10,5,100%,1,Damages increases the more party Pokémon have been defeated.
307,Lick,Ghost,Physical,30,3,100%,1,May paralyze opponent.
308,Moongeist Beam,Ghost,Special,5,10,100%,2,Ignores the target's ability.
309,Night Shade,Ghost,Special,15,N/A,100%,Burst,Inflicts damage equal to user's level.
310,Nightmare,Ghost,Status,15,N/A,100%,1,The sleeping opponent loses 25% of its max HP each turn.
311,Ominous Wind,Ghost,Special,5,6,100%,Room,May raise all user's stats at once.
312,Phantom Force,Ghost,Physical,10,9,100%,1,"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
313,Poltergeist,Ghost,Physical,5,11,90%,2,Fails if the target doesn’t have an item.
314,Rage Fist,Ghost,Physical,10,5,100%,1,"The more times the user has been hit by attacks, the greater the move's power."
315,Shadow Ball,Ghost,Special,15,8,100%,10,May lower opponent's Special Defense.
316,Shadow Bone,Ghost,Physical,10,9,100%,2D,May lower opponent's Defense.
317,Shadow Claw,Ghost,Physical,15,7,100%,1,High critical hit ratio.
318,Shadow Force,Ghost,Physical,5,12,100%,10P,"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
319,Shadow Punch,Ghost,Physical,20,6,—,1,Ignores Accuracy and Evasiveness.
320,Shadow Sneak,Ghost,Physical,30,4,100%,2,User attacks first.
321,Spectral Thief,Ghost,Physical,10,9,100%,1D,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks."
322,Spirit Shackle,Ghost,Physical,10,8,100%,2D,Prevents the opponent from switching out.
323,Spite,Ghost,Status,10,N/A,100%,1,The opponent's last move loses 2-5 PP.
324,Trick-or-Treat,Ghost,Status,20,N/A,100%,1,Adds Ghost type to opponent.
325,Absorb,Grass,Special,25,2,100%,1,User recovers half the HP inflicted on opponent.
