Name,Type,Category,Effect
Magnet Rise,Electric,Status,User becomes immune to Ground-type moves for 5 turns.
Magnetic Flux,Electric,Status,Raises Defense and Sp. Defense of Plus/Minus Pok�mon.
Nuzzle,Electric,Physical,Paralyzes opponent.
Overdrive,Electric,Special,Hits all adjacent opponents.
Parabolic Charge,Electric,Special,User recovers half the HP inflicted on opponent.
Plasma Fists,Electric,Physical,Changes Normal-type moves to Electric-type moves.
Rising Voltage,Electric,Special,Power doubles on Electric Terrain.
Shock Wave,Electric,Special,Ignores Accuracy and Evasiveness.
Spark,Electric,Physical,May paralyze opponent.
Supercell Slam,Electric,Physical,"If the move misses, the user takes damage instead."
Thunder,Electric,Special,May paralyze opponent.
Thunder Cage,Electric,Special,"Deals damage and traps opponent, damaging them for 4-5 turns."
Thunder Fang,Electric,Physical,May cause flinching and/or paralyze opponent.
Thunder Punch,Electric,Physical,May paralyze opponent.
Thunder Shock,Electric,Special,May paralyze opponent.
Thunder Wave,Electric,Status,Paralyzes opponent.
Thunderbolt,Electric,Special,May paralyze opponent.
Thunderclap,Electric,Special,Strikes before a target's move.
Volt Switch,Electric,Special,User must switch out after attacking.
Volt Tackle,Electric,Physical,User receives recoil damage. May paralyze opponent.
Wild Charge,Electric,Physical,User receives recoil damage.
Wildbolt Storm,Electric,Special,May paralyze target.
Zap Cannon,Electric,Special,Paralyzes opponent.
Zing Zap,Electric,Physical,May cause flinching.
Alluring Voice,Fairy,Special,Confuses the target if they have any stat boosts.
Aromatic Mist,Fairy,Status,Raises Special Defense of an ally.
Baby-Doll Eyes,Fairy,Status,Always goes first. Lowers the target's attack.
Charm,Fairy,Status,Sharply lowers opponent's Attack.
Crafty Shield,Fairy,Status,Protects the Pok�mon from status moves.
Dazzling Gleam,Fairy,Special,Hits all adjacent opponents.
Decorate,Fairy,Status,Sharply raises target's Attack and Special Attack.
Disarming Voice,Fairy,Special,Ignores Accuracy and Evasiveness.
Draining Kiss,Fairy,Special,User recovers most the HP inflicted on opponent.
Fairy Lock,Fairy,Status,Prevents fleeing in the next turn.
Fairy Wind,Fairy,Special,�
Fleur Cannon,Fairy,Special,Sharply lowers user's Special Attack.
Floral Healing,Fairy,Status,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.
Flower Shield,Fairy,Status,Sharply raises Defense of all Grass-type Pok�mon on the field.
Geomancy,Fairy,Status,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second."
Light of Ruin,Fairy,Special,User receives recoil damage.
Magical Torque,Fairy,Physical,May confuse the opponent.
Misty Explosion,Fairy,Special,Power increases on Misty Terrain.
Misty Terrain,Fairy,Status,Protects the field from status conditions for 5 turns.
Moonblast,Fairy,Special,May lower opponent's Special Attack.
Moonlight,Fairy,Status,User recovers HP. Amount varies with the weather.
Nature's Madness,Fairy,Special,Halves the foe's HP.
Play Rough,Fairy,Physical,May lower opponent's Attack.
Spirit Break,Fairy,Physical,Lowers opponent's Special Attack.
Springtide Storm,Fairy,Special,"Boosts user's stats in Incarnate Forme, or lowers opponent's stats in Therian Forme."
Strange Steam,Fairy,Special,May confuse opponent.
Sweet Kiss,Fairy,Status,Confuses opponent.
Arm Thrust,Fighting,Physical,Hits 2-5 times in one turn.
Aura Sphere,Fighting,Special,Ignores Accuracy and Evasiveness.
Axe Kick,Fighting,Physical,"May confuse opponent. If it misses, the user loses HP."
Body Press,Fighting,Physical,"The higher the user's Defense, the stronger the attack."
Brick Break,Fighting,Physical,Breaks through Reflect and Light Screen barriers.
Bulk Up,Fighting,Status,Raises user's Attack and Defense.
Circle Throw,Fighting,Physical,"In battles, the opponent switches. In the wild, the Pok�mon runs."
Close Combat,Fighting,Physical,Lowers user's Defense and Special Defense.
Coaching,Fighting,Status,Boosts Attack and Defense of a teammate.
Collision Course,Fighting,Physical,Boosted even more if it's super-effective.
Combat Torque,Fighting,Physical,May paralyze the opponent.
Counter,Fighting,Physical,"When hit by a Physical Attack, user strikes back with 2x power."
Cross Chop,Fighting,Physical,High critical hit ratio.
Detect,Fighting,Status,"Protects the user, but may fail if used consecutively."
Double Kick,Fighting,Physical,Hits twice in one turn.
Drain Punch,Fighting,Physical,User recovers half the HP inflicted on opponent.
Dynamic Punch,Fighting,Physical,Confuses opponent.
Final Gambit,Fighting,Special,Inflicts damage equal to the user's remaining HP. User faints.
Flying Press,Fighting,Physical,Deals Fighting and Flying type damage.
Focus Blast,Fighting,Special,May lower opponent's Special Defense.
Focus Punch,Fighting,Physical,"If the user is hit before attacking, it flinches instead."
Force Palm,Fighting,Physical,May paralyze opponent.
Hammer Arm,Fighting,Physical,Lowers user's Speed.
High Jump Kick,Fighting,Physical,"If it misses, the user loses half their HP."
Jump Kick,Fighting,Physical,"If it misses, the user loses half their HP."
Karate Chop,Fighting,Physical,High critical hit ratio.
Low Kick,Fighting,Physical,"The heavier the opponent, the stronger the attack."
Low Sweep,Fighting,Physical,Lowers opponent's Speed.
Mach Punch,Fighting,Physical,User attacks first.
Mat Block,Fighting,Status,Protects teammates from damaging moves.
Meteor Assault,Fighting,Physical,User must recharge next turn.
No Retreat,Fighting,Status,Raises all stats but user cannot switch out.
Octolock,Fighting,Status,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out."
Power-Up Punch,Fighting,Physical,Raises Attack.
Quick Guard,Fighting,Status,Protects the user's team from high-priority moves.
Revenge,Fighting,Physical,Power increases if user was hit first.
Reversal,Fighting,Physical,"The lower the user's HP, the higher the power."
Rock Smash,Fighting,Physical,May lower opponent's Defense.
Rolling Kick,Fighting,Physical,May cause flinching.
Sacred Sword,Fighting,Physical,Ignores opponent's stat changes.
Secret Sword,Fighting,Special,"Inflicts damage based on the target's Defense, not Special Defense."
Seismic Toss,Fighting,Physical,Inflicts damage equal to user's level.
Sky Uppercut,Fighting,Physical,"Hits the opponent, even during Fly."
Storm Throw,Fighting,Physical,Always results in a critical hit.
Submission,Fighting,Physical,User receives recoil damage.
Superpower,Fighting,Physical,Lowers user's Attack and Defense.
Thunderous Kick,Fighting,Physical,Lowers opponent's Defense.
Triple Arrows,Fighting,Physical,High critical hit ratio. May lower opponent's Defense or cause them to flinch.
Triple Kick,Fighting,Physical,Hits thrice in one turn at increasing power.
Upper Hand,Fighting,Physical,Strikes before a target's priority move.
Vacuum Wave,Fighting,Special,User attacks first.
Victory Dance,Fighting,Status,Raises Attack and Defense.
Vital Throw,Fighting,Physical,"User attacks last, but ignores Accuracy and Evasiveness."
Wake-Up Slap,Fighting,Physical,"Power doubles if opponent is asleep, but wakes it up."
Armor Cannon,Fire,Special,Lowers user's Defense and Special Defense.
Bitter Blade,Fire,Physical,User recovers half the HP inflicted on opponent.
Blast Burn,Fire,Special,User must recharge next turn.
Blaze Kick,Fire,Physical,High critical hit ratio. May burn opponent.
Blazing Torque,Fire,Physical,May burn the opponent.
Blue Flare,Fire,Special,May burn opponent.
Burn Up,Fire,Special,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type."
Burning Bulwark,Fire,Status,�
Burning Jealousy,Fire,Special,"Hits all opponents, and burns any that have had their stats boosted."
Ember,Fire,Special,May burn opponent.
Eruption,Fire,Special,Stronger when the user's HP is higher.
Fiery Dance,Fire,Special,May raise user's Special Attack.
Fire Blast,Fire,Special,May burn opponent.
Fire Fang,Fire,Physical,May cause flinching and/or burn opponent.
Fire Lash,Fire,Physical,The user strikes the target with a burning lash. This also lowers the target's Defense stat.
Fire Pledge,Fire,Special,Added effects appear if combined with Grass Pledge or Water Pledge.
Fire Punch,Fire,Physical,May burn opponent.
Fire Spin,Fire,Special,"Traps opponent, damaging them for 4-5 turns."
Flame Burst,Fire,Special,May also injure nearby Pok�mon.
Flame Charge,Fire,Physical,Raises user's Speed.
Flame Wheel,Fire,Physical,May burn opponent.
Flamethrower,Fire,Special,May burn opponent.
Flare Blitz,Fire,Physical,User receives recoil damage. May burn opponent.
Fusion Flare,Fire,Special,Power increases if Fusion Bolt is used in the same turn.
Heat Crash,Fire,Physical,"The heavier the user, the stronger the attack."
Heat Wave,Fire,Special,May burn opponent.
Incinerate,Fire,Special,Destroys the target's held berry.
Inferno,Fire,Special,Burns opponent.
Lava Plume,Fire,Special,May burn opponent.
Magma Storm,Fire,Special,"Traps opponent, damaging them for 4-5 turns."
Mind Blown,Fire,Special,User receives recoil damage.
Mystical Fire,Fire,Special,Lowers opponent's Special Attack.
Overheat,Fire,Special,Sharply lowers user's Special Attack.
Pyro Ball,Fire,Physical,May burn opponent.
Raging Fury,Fire,Physical,User attacks for 2-3 turns but then becomes confused.
Sacred Fire,Fire,Physical,May burn opponent.
Searing Shot,Fire,Special,May burn opponent.
Shell Trap,Fire,Special,Deals more damage to opponent if hit by a Physical move.
Sunny Day,Fire,Status,Makes it sunny for 5 turns.
Temper Flare,Fire,Physical,Power doubles if the last move failed.
Torch Song,Fire,Special,Raises user's Special Attack.
V-create,Fire,Physical,"Lowers user's Defense, Special Defense and Speed."
Will-O-Wisp,Fire,Status,Burns opponent.
Acrobatics,Flying,Physical,Stronger when the user does not have a held item.
Aerial Ace,Flying,Physical,Ignores Accuracy and Evasiveness.
Aeroblast,Flying,Special,High critical hit ratio.
Air Cutter,Flying,Special,High critical hit ratio.
Air Slash,Flying,Special,May cause flinching.
Beak Blast,Flying,Physical,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pok�mon while it's heating up its beak results in a burn."
Bleakwind Storm,Flying,Special,May lower opponent's Speed.
Bounce,Flying,Physical,"Springs up on first turn, attacks on second. May paralyze opponent."
Brave Bird,Flying,Physical,User receives recoil damage.
Chatter,Flying,Special,Confuses opponent.
Defog,Flying,Status,Lowers opponent's Evasiveness and clears fog.
Dragon Ascent,Flying,Physical,Lowers user's Defense and Special Defense.
Drill Peck,Flying,Physical,�
Dual Wingbeat,Flying,Physical,The user slams the target with its wings. The target is hit twice in a row.
Feather Dance,Flying,Status,Sharply lowers opponent's Attack.
Fly,Flying,Physical,"Flies up on first turn, attacks on second turn."
Gust,Flying,Special,Hits Pok�mon using Fly/Bounce/Sky Drop with double power.
Hurricane,Flying,Special,May confuse opponent.
Mirror Move,Flying,Status,User performs the opponent's last move.
Oblivion Wing,Flying,Special,User recovers most of the HP inflicted on opponent.
Peck,Flying,Physical,�
Pluck,Flying,Physical,"If the opponent is holding a berry, its effect is stolen by user."
Roost,Flying,Status,User recovers half of its max HP and loses the Flying type temporarily.
Sky Attack,Flying,Physical,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio."
Sky Drop,Flying,Physical,"Takes opponent into the air on first turn, drops them on second turn."
Tailwind,Flying,Status,Doubles Speed for 4 turns.
Wing Attack,Flying,Physical,�
Astonish,Ghost,Physical,May cause flinching.
Astral Barrage,Ghost,Special,The user attacks by sending a frightful amount of small ghosts at opposing Pok�mon.
Bitter Malice,Ghost,Special,Lowers opponent's Attack.
Confuse Ray,Ghost,Status,Confuses opponent.
Curse,Ghost,Status,"Ghosts lose 5�% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed."
Destiny Bond,Ghost,Status,"If the user faints, the opponent also faints."
Grudge,Ghost,Status,"If the users faints after using this move, the PP for the opponent's last move is depleted."
Hex,Ghost,Special,Inflicts more damage if the target has a status condition.
Infernal Parade,Ghost,Special,Inflicts double damage if the target has a status condition.
Last Respects,Ghost,Physical,Damages increases the more party Pok�mon have been defeated.
Lick,Ghost,Physical,May paralyze opponent.
Moongeist Beam,Ghost,Special,Ignores the target's ability.
Night Shade,Ghost,Special,Inflicts damage equal to user's level.
Nightmare,Ghost,Status,The sleeping opponent loses 25% of its max HP each turn.
Ominous Wind,Ghost,Special,May raise all user's stats at once.
Phantom Force,Ghost,Physical,"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
Poltergeist,Ghost,Physical,Fails if the target doesn�t have an item.
Rage Fist,Ghost,Physical,"The more times the user has been hit by attacks, the greater the move's power."
Shadow Ball,Ghost,Special,May lower opponent's Special Defense.
Shadow Bone,Ghost,Physical,May lower opponent's Defense.
Shadow Claw,Ghost,Physical,High critical hit ratio.
Shadow Force,Ghost,Physical,"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
Shadow Punch,Ghost,Physical,Ignores Accuracy and Evasiveness.
Shadow Sneak,Ghost,Physical,User attacks first.
Spectral Thief,Ghost,Physical,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks."
Spirit Shackle,Ghost,Physical,Prevents the opponent from switching out.
Spite,Ghost,Status,The opponent's last move loses 2-5 PP.
Trick-or-Treat,Ghost,Status,Adds Ghost type to opponent.
Absorb,Grass,Special,User recovers half the HP inflicted on opponent.
Apple Acid,Grass,Special,Lowers target's Special Defense.
Aromatherapy,Grass,Status,Cures all status problems in your party.
Branch Poke,Grass,Physical,�
Bullet Seed,Grass,Physical,Hits 2-5 times in one turn.
Chloroblast,Grass,Special,User receives recoil damage.
Cotton Guard,Grass,Status,Drastically raises user's Defense.
Cotton Spore,Grass,Status,Sharply lowers opponent's Speed.
Drum Beating,Grass,Physical,Lowers opponent's Speed.
Energy Ball,Grass,Special,May lower opponent's Special Defense.
Flower Trick,Grass,Physical,Never misses; always results in a critical hit.
Forest's Curse,Grass,Status,Adds Grass type to opponent.
Frenzy Plant,Grass,Special,User must recharge next turn.
Giga Drain,Grass,Special,User recovers half the HP inflicted on opponent.
Grass Knot,Grass,Special,"The heavier the opponent, the stronger the attack."
Grass Pledge,Grass,Special,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.
Grass Whistle,Grass,Status,Puts opponent to sleep.
Grassy Glide,Grass,Physical,High priority during Grassy Terrain.
Grassy Terrain,Grass,Status,Restores a little HP of all Pok�mon for 5 turns.
Grav Apple,Grass,Physical,Lowers the opponent's Defense stat.
Horn Leech,Grass,Physical,User recovers half the HP inflicted on opponent.
Ingrain,Grass,Status,User restores HP each turn. User cannot escape/switch.
Ivy Cudgel,Grass,Physical,High critical hit ratio. Type changes based on form.
Jungle Healing,Grass,Status,Restores team's HP and cures status conditions.
Leaf Blade,Grass,Physical,High critical hit ratio.
Leaf Storm,Grass,Special,Sharply lowers user's Special Attack.
Leaf Tornado,Grass,Special,May lower opponent's Accuracy.
Leafage,Grass,Physical,Strikes opponent with leaves.
Leech Seed,Grass,Status,Drains HP from opponent each turn.
Magical Leaf,Grass,Special,Ignores Accuracy and Evasiveness.
Matcha Gotcha,Grass,Special,"Deals damage, restores HP, may burn opponent."
Mega Drain,Grass,Special,User recovers half the HP inflicted on opponent.
Needle Arm,Grass,Physical,May cause flinching.
Petal Blizzard,Grass,Physical,Hits all adjacent Pok�mon.
Petal Dance,Grass,Special,User attacks for 2-3 turns but then becomes confused.
Power Whip,Grass,Physical,�
Razor Leaf,Grass,Physical,High critical hit ratio.
Seed Bomb,Grass,Physical,�
Seed Flare,Grass,Special,May lower opponent's Special Defense.
Sleep Powder,Grass,Status,Puts opponent to sleep.
Snap Trap,Grass,Physical,"Traps opponent, damaging them for 4-5 turns."
Solar Beam,Grass,Special,"Charges on first turn, attacks on second."
Solar Blade,Grass,Physical,"Charges on first turn, attacks on second."
Spicy Extract,Grass,Status,Harshly lowers the opponent's Defense and sharply raises their Attack.
Spiky Shield,Grass,Status,Protects the user and inflicts damage on contact.
Spore,Grass,Status,Puts opponent to sleep.
Strength Sap,Grass,Status,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.
Stun Spore,Grass,Status,Paralyzes opponent.
Synthesis,Grass,Status,User recovers HP. Amount varies with the weather.
Syrup Bomb,Grass,Special,Lowers opponent's Speed each turn for 3 turns.
Trailblaze,Grass,Physical,Raises user's Speed.
Trop Kick,Grass,Physical,Lowers opponent's Attack.
Vine Whip,Grass,Physical,�
Wood Hammer,Grass,Physical,User receives recoil damage.
Worry Seed,Grass,Status,Changes the opponent's Ability to Insomnia.
Bone Club,Ground,Physical,May cause flinching.
Bone Rush,Ground,Physical,Hits 2-5 times in one turn.
Bonemerang,Ground,Physical,Hits twice in one turn.
Bulldoze,Ground,Physical,Lowers opponent's Speed.
Dig,Ground,Physical,"Digs underground on first turn, attacks on second. Can also escape from caves."
Drill Run,Ground,Physical,High critical hit ratio.
Earth Power,Ground,Special,May lower opponent's Special Defense.
Earthquake,Ground,Physical,Power is doubled if opponent is underground from using Dig.
Fissure,Ground,Physical,"One-Hit-KO, if it hits."
Headlong Rush,Ground,Physical,Lowers user's Defense.
High Horsepower,Ground,Physical,The user fiercely attacks the target using its entire body.
Land's Wrath,Ground,Physical,�
Magnitude,Ground,Physical,Hits with random power.
Mud Bomb,Ground,Special,May lower opponent's Accuracy.
Mud Shot,Ground,Special,Lowers opponent's Speed.
Mud Sport,Ground,Status,Weakens the power of Electric-type moves.
Mud-Slap,Ground,Special,Lowers opponent's Accuracy.
Precipice Blades,Ground,Physical,Hits all adjacent opponents.
Rototiller,Ground,Status,Raises Attack and Special Attack of Grass-types.
Sand Attack,Ground,Status,Lowers opponent's Accuracy.
Sand Tomb,Ground,Physical,"Traps opponent, damaging them for 4-5 turns."
Sandsear Storm,Ground,Special,May burn target.
Scorching Sands,Ground,Special,May burn the target.
Shore Up,Ground,Status,The user regains up to half of its max HP. It restores more HP in a sandstorm.
Spikes,Ground,Status,Damages opponents switching into battle.
Stomping Tantrum,Ground,Physical,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles."
Thousand Arrows,Ground,Physical,Makes Flying-type Pok�mon vulnerable to Ground moves.
Thousand Waves,Ground,Physical,Opponent cannot flee or switch.
Aurora Beam,Ice,Special,May lower opponent's Attack.
Aurora Veil,Ice,Status,Halves damage from Physical and Special attacks for five turns.
Avalanche,Ice,Physical,Power doubles if user took damage first.
Blizzard,Ice,Special,May freeze opponent.
Chilly Reception,Ice,Status,Switches out and summons a snowstorm lasting 5 turns.
Freeze Shock,Ice,Physical,"Charges on first turn, attacks on second. May paralyze opponent."
Freeze-Dry,Ice,Special,May freeze opponent. Super-effective against Water types.
Frost Breath,Ice,Special,Always results in a critical hit.
Glacial Lance,Ice,Physical,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pok�mon.
Glaciate,Ice,Special,Lowers opponent's Speed.
Hail,Ice,Status,Non-Ice types are damaged for 5 turns.
Haze,Ice,Status,Resets all stat changes.
Ice Ball,Ice,Physical,Doubles in power each turn for 5 turns.
Ice Beam,Ice,Special,May freeze opponent.
Ice Burn,Ice,Special,"Charges on first turn, attacks on second. May burn opponent."
Ice Fang,Ice,Physical,May cause flinching and/or freeze opponent.
Ice Hammer,Ice,Physical,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however."
Ice Punch,Ice,Physical,May freeze opponent.
Ice Shard,Ice,Physical,User attacks first.
Ice Spinner,Ice,Physical,Removes effects of Terrain.
Icicle Crash,Ice,Physical,May cause flinching.
Icicle Spear,Ice,Physical,Hits 2-5 times in one turn.
Icy Wind,Ice,Special,Lowers opponent's Speed.
Mist,Ice,Status,User's stats cannot be changed for a period of time.
Mountain Gale,Ice,Physical,Lowers user's Speed.
Powder Snow,Ice,Special,May freeze opponent.
Sheer Cold,Ice,Special,"One-Hit-KO, if it hits."
Snowscape,Ice,Status,Raises Defense of Ice types for 5 turns.
Triple Axel,Ice,Physical,Attacks thrice with more power each time.
Acupressure,Normal,Status,Sharply raises a random stat.
After You,Normal,Status,Gives target priority in the next turn.
Assist,Normal,Status,User performs a move known by its allies at random.
Attract,Normal,Status,"If opponent is the opposite gender, it's less likely to attack."
Barrage,Normal,Physical,Hits 2-5 times in one turn.
Baton Pass,Normal,Status,User switches out and gives stat changes to the incoming Pok�mon.
Belly Drum,Normal,Status,"User loses 5�% of its max HP, but Attack raises to maximum."
Bestow,Normal,Status,Gives the user's held item to the target.
Bide,Normal,Physical,User takes damage for two turns then strikes back double.
Bind,Normal,Physical,"Traps opponent, damaging them for 4-5 turns."
Block,Normal,Status,Opponent cannot flee or switch.
Blood Moon,Normal,Special,Cannot be used twice in a row.
Body Slam,Normal,Physical,May paralyze opponent.
Boomburst,Normal,Special,Hits all adjacent Pok�mon.
Camouflage,Normal,Status,Changes user's type according to the location.
Captivate,Normal,Status,Sharply lowers opponent's Special Attack if opposite gender.
Celebrate,Normal,Status,The Pok�mon congratulates you on your special day. No battle effect.
Chip Away,Normal,Physical,Ignores opponent's stat changes.
